"mp_dt_stuermisch_hell.mpg";"der Knabe hat ein stürmisches Gemüt"
"ik_dt_kuesterlaeutet_hell.mpg";"der Küster läutet die Glocke"
"fi_dt_henkelgross_hell.mpg";"die Suppenschüssel hat einen großen Henkel"
"fm_dt_demonstrantenrandgruppe_hell.mpg";"die Demonstranten gehören zu einer Randgruppe"
"fm_dt_chefkonsequenthandeln_hell.mpg";"der Firmenchef will ganz konsequent handeln"
"ik_dt_krummerbuckel_hell.mpg";"die Großmutter hat einen krummen Buckel"
"fi_dt_schmalerschlitz_hell.mpg";"der Briefkasten hat einen schmalen Schlitz"
"fi_dt_wendeltreppe_hell.mpg";"die Treppe nach oben ist eine Wendeltreppe"
"mp_dt_schrumpfen_hell.mpg";"das Einkommen schrumpft seit Jahren"
"fi_dt_ballrollthinunter_hell.mpg";"der Ball rollt den Abhang hinunter"
"fm_dt_stimmungschaukelthoch_hell.mpg";"die Stimmung schaukelt sich allmählich hoch"
"ik_dt_kreisfoermigerspot_hell.mpg";"der Scheinwerfer wirft einen kreisförmigen Spot auf den Boden"
"fm_dt_einleitunghauptteilgetrennt_hell.mpg";"die Einleitung ist vom Hauptteil getrennt"
"fm_dt_niveauanders_hell.mpg";"die Mieten bewegen sich auf einem anderen Niveau"
"fi_dt_schafabseits_hell.mpg";"das schwarze Schaf steht abseits der Herde"
"ik_dt_zusammenkleben_hell.mpg";"die Kindergärtnerin klebt zwei Schachteln zusammen"
"fm_dt_vereinzelt_hell.mpg";"die Symptome finden sich nur vereinzelt wieder"
"fm_dt_bestaetigtgesamtkonzept_hell.mpg";"die Forschung bestätigt das Gesamtkonzept"
"mp_dt_hypothesenverwerfen-x_hell.mpg";"der junge Mann verwirft sein Vorhaben"
"fm_dt_nichtvieldazu_hell.mpg";"der Zeuge hat eigentlich nicht viel dazu zu sagen"
"mp_dt_straeubtsich_hell.mpg";"die Vermieterin sträubt sich gegen den neuen Mieter"
"ik_dt_anschiebenauto_hell.mpg";"die Passanten helfen das Auto anzuschieben"
"fi_dt_hochhebenmedball_hell.mpg";"der Sportlehrer hebt einen Medizinball hoch"
"ik_dt_schraubenleiste_hell.mpg";"der Mechaniker schraubt die Leiste fest"
"ik_dt_servierenkaffee_hell.mpg";"die Kellnerin serviert einen Kaffee"
"mp_dt_schwammig_hell.mpg";"die Aussage des Zeugen ist sehr schwammig"
"ik_dt_schmalersteg_hell.mpg";"der Steg über den Bach ist schmal"
"fm_dt_komprimiertegeschichte_hell.mpg";"die Erzählung ist eine komprimierte Geschichte"
"fi_dt_zusammenschieben_hell.mpg";"der Musiker schiebt das Akkordeon zusammen"
"fm_dt_zusammenenger_hell.mpg";"die Behörden sollen enger zusammenarbeiten"
"fm_dt_besseralsdieandere_hell.mpg";"die eine Veranstaltung ist besser als die andere"
"ik_dt_ueberschlagenwagen_hell.mpg";"der Wagen überschlägt sich auf der Straße"
"mp_dt_ueberbieten-x_hell.mpg";"die Pokerspieler überwiegen sich gegenseitig"
"fi_dt_wasserpistolen-x_hell.mpg";"die Jugendlichen spielen mit Spielzeugpistolen"
"ik_dt_schleudernwaesche_hell.mpg";"die Wäsche wird in der Waschmaschine geschleudert"
"mp_dt_breitesfeldumfassen_hell.mpg";"die Thematik umfasst ein sehr breites Feld"
"fi_dt_umschaltenfernbed_hell.mpg";"der Sohn schaltet das Programm mit der Fernbedienung um"
"ik_dt_hauszelt_hell.mpg";"die Familie übernachtet in einem Hauszelt"
"ik_dt_kreisenflugzeug_hell.mpg";"das Flugzeug kreist über der Landebahn"
"fi_dt_schneidenzwiebeln_hell.mpg";"die Köchin schneidet die Zwiebeln in Würfel"
"fm_dt_schlussstrich_hell.mpg";"der Jugendliche zieht einen Schlussstrich"
"ik_dt_zackensaegeblatt_hell.mpg";"das Sägeblatt der Kreissäge hat große Zacken"
"fi_dt_kindbisabgrund_hell.mpg";"das Kind rennt bis zum Abgrund"
"mp_dt_standpunktklarmachen_hell.mpg";"der Referent macht seinen Standpunkt klar"
"ik_dt_spieluhraufziehen_hell.mpg";"die große Schwester zieht die Spieluhr auf"
"fm_dt_handlungverwoben_hell.mpg";"die Handlungsstränge sind ineinander verwoben"
"mp_dt_ganzschoenstrapaziert-x_hell.mpg";"das Wohlwollen des Chefs ist ganz schön strapaziert"
"ik_dt_grosserfisch_hell.mpg";"der Angler fängt einen großen Fisch"
"ik_dt_oeffnenkeksdose_hell.mpg";"die Schwester öffnet die Keksdose"
"fm_dt_worterteilen-x_hell.mpg";"der Lehrer erteilt dem Schüler das Wort"
