"em_dt_abwehren-extra_hell.mpg";"die Urlauberin wehrt die Verkäufer ab"
"em_dt_alktrinken_hell.mpg";"die Jugendlichen trinken gerne Alkohol"
"em_dt_anruferbeten_hell.mpg";"das Mädchen bittet die Freundin um ein Anruf"
"em_dt_applaus-extra_hell.mpg";"der Jurist hat seine Samen mit Bravour bestanden"
"em_dt_applaus_hell.mpg";"der Schüler hat seine Prüfung mit Bravour bestanden"
"em_dt_auffordern-extra_hell.mpg";"die Kommentatoren fordert den Redner auf zu beginnen"
"em_dt_auffordern_hell.mpg";"die Moderatorin fordert den Herrn auf zu beginnen"
"em_dt_aufstehen_hell.mpg";"der Lehrer lässt die Schüler zur Begrüßung aufstehen"
"em_dt_beruhigen_hell.mpg";"die Lehrerin fordert die Schüler zur Ruhe auf"
"em_dt_brettvorkopf-extra_hell.mpg";"der Jugendliche erkennt endlich die Situation"
"em_dt_daeumchendrehen_hell.mpg";"die ZuhörerInnen langweilt sich sehr"
"em_dt_daumendrauf_hell.mpg";"die Eltern haben auf der Kindererziehung den Daumen drauf"
"em_dt_daumendruecken_hell.mpg";"die Schwester wünscht ihrer Freundin viel Glück"
"em_dt_daumenhoch_hell.mpg";"der Fahrer signalisiert dass alles in Ordnung ist"
"em_dt_daumenlob_hell.mpg";"der Trainer lobt das Abschneiden seines Teams"
"em_dt_daumenrunter_hell.mpg";"die Schauspielerin hat nicht gut gespielt"
"em_dt_desinteresse_hell.mpg";"die Meinung der Mutter interessiert die Tochter nicht"
"em_dt_drohen-extra_hell.mpg";"der Vorstand droht der Abteilung Sanktionen an"
"em_dt_drohen_hell.mpg";"die Rentnerin droht dem wilden Autofahrer"
"em_dt_egalnachlaessigkeit_hell.mpg";"dem Jungen ist seine Nachlässigkeit egal"
"em_dt_ermahnen_hell.mpg";"der Bischof ermahnt die Gläubigen"
"em_dt_gefaehrlich_hell.mpg";"die Chefin findet das Vorhaben gefährlich"
"em_dt_gelassenheit_hell.mpg";"der Vorgesetzte mahnt zu mehr Gelassenheit"
"em_dt_gruessen_hell.mpg";"der Rentner grüßt die Marktfrau im Vorübergehen"
"em_dt_haendegebunden_hell.mpg";"den Beamten sind die Hände gebunden"
"em_dt_handschuetteln_hell.mpg";"der Kanzler reicht dem Präsidenten die Hand"
"em_dt_herwinken_hell.mpg";"die Kindergärtnerin winkt die Kinder zu sich her"
"em_dt_hochnaesig_hell.mpg";"die Gräfin ist eine hochnäsige Person"
"em_dt_lauter_hell.mpg";"der Dirigent lässt die Musiker lauter spielen"
"em_dt_melden_hell.mpg";"die Schülerin meldet sich eifrig"
"em_dt_nichtwissen_hell.mpg";"der Junge weiß die richtige Antwort nicht"
"em_dt_peace-extra_hell.mpg";"die studenten demonstrieren für den Frieden"
"em_dt_peace_hell.mpg";"der Pazifist kämpft für den Frieden"
"em_dt_pimaldaumen_hell.mpg";"die Architektin schätzt das Alter des Hauses"
"em_dt_pistole_hell.mpg";"der Ganove schießt auf seinen Verfolger"
"em_dt_salutieren_hell.mpg";"der Soldat salutiert dem Staatsbesuch"
"em_dt_schadenfreude_hell.mpg";"der Bengel zeigt seine Schadenfreude"
"em_dt_schlechthoeren_hell.mpg";"die Oma versteht den jungen sehr schlecht"
"em_dt_schulterzucken_hell.mpg";"die Tante kann dem Fremden leider nicht helfen"
"em_dt_schwoeren_hell.mpg";"der Angeklagte schwört die Wahrheit zu sagen"
"em_dt_setzen_hell.mpg";"die Schüler dürfen sich widersetzen"
"em_dt_stinkefinger_hell.mpg";"der Fußballer beschimpft den Schiedsrichter"
